date,sym,side,price,qty,value,cost
20200102,069500,BUY,25943.597999999998,192,4981170.816,747.1756223999998
20200102,102110,BUY,25742.997999999996,194,4994141.611999999,749.1212417999998
20200102,005930,BUY,55365.59999999999,90,4982903.999999999,747.4355999999998
20200102,051600,BUY,38665.649999999994,129,4987868.85,748.1803274999999
20200102,005935,BUY,45736.799999999996,109,4985311.199999999,747.7966799999998
20200102,009150,BUY,126879.49999999999,39,4948300.499999999,742.2450749999998
20200102,035720,BUY,30700.826999999997,162,4973533.973999999,746.0300960999998
20200102,016360,BUY,37963.549999999996,131,4973225.05,745.9837574999999
20200102,028260,BUY,107822.49999999999,46,4959834.999999999,743.9752499999998
20200102,034730,BUY,258773.99999999997,19,4916705.999999999,737.5058999999998
20200102,028050,BUY,19357.899999999998,258,4994338.199999999,749.1507299999998
20200102,267250,BUY,66198.0,75,4964850.0,744.7275
20200102,105560,BUY,46689.649999999994,107,4995792.55,749.3688824999999
20200102,004800,BUY,58952.327999999994,84,4951995.551999999,742.7993327999998
20200102,000120,BUY,152957.49999999997,32,4894639.999999999,734.1959999999998
20200102,138930,BUY,7492.409999999999,667,4997437.47,749.6156204999999
20200102,012330,BUY,248242.49999999997,20,4964849.999999999,744.7274999999998
20200102,055550,BUY,42727.799999999996,117,4999152.6,749.8728899999999
20200102,009450,BUY,45486.049999999996,109,4957979.449999999,743.6969174999998
20200102,015760,BUY,28585.499999999996,174,4973876.999999999,746.0815499999998
20200131,267250,SELL,54535.9,75,4090192.5,10020.971625
20200131,004800,SELL,54683.456,84,4593410.304,11253.8552448
20200131,000120,SELL,145562.0,32,4657984.0,11412.0608
20200131,138930,SELL,6729.75,667,4488743.25,10997.4209625
20200131,012330,SELL,228811.5,20,4576230.0,11211.7635
20200131,055550,SELL,39032.55,117,4566808.350000001,11188.6804575
20200131,009450,SELL,40976.7,109,4466460.3,10942.827734999999
20200131,015760,SELL,25273.95,174,4397667.3,10774.284885
20200131,014680,BUY,109326.99999999999,43,4701060.999999999,705.1591499999998
20200131,000100,BUY,36665.668,128,4693205.504,703.9808255999999
20200131,010120,BUY,10571.619999999999,446,4714942.52,707.2413779999998
20200131,066570,BUY,66097.7,71,4692936.7,703.9405049999999
20200131,000660,BUY,93780.49999999999,50,4689024.999999999,703.3537499999998
20200131,009540,BUY,114341.99999999999,41,4688021.999999999,703.2032999999998
20200131,229200,BUY,9377.046999999999,503,4716654.640999999,707.4981961499998
20200131,005490,BUY,221662.99999999997,15,3324944.9999999995,498.7417499999999
20200228,009150,SELL,125622.0,39,4899258.0,12003.1821
20200228,016360,SELL,33000.7,131,4323091.699999999,10591.574664999998
20200228,028050,SELL,14057.7,258,3626886.6,8885.87217
20200228,000100,SELL,35777.345,128,4579500.16,11219.775392
20200228,010120,SELL,8693.84,446,3877452.64,9499.758968
20200228,000660,SELL,87636.3,50,4381815.0,10735.44675
20200228,009540,SELL,103688.0,41,4251208.0,10415.4596
20200228,005490,SELL,194913.5,15,2923702.5,7163.0711249999995
20200228,012510,BUY,86257.99999999999,50,4312899.999999999,646.9349999999998
20200228,004370,BUY,264792.0,16,4236672.0,635.5007999999999
20200228,032640,BUY,13239.599999999999,329,4355828.399999999,653.3742599999998
20200228,035420,BUY,174521.99999999997,25,4363049.999999999,654.4574999999998
20200228,036570,BUY,650946.9999999999,6,3905681.999999999,585.8522999999998
20200228,003230,BUY,85756.49999999999,50,4287824.999999999,643.1737499999998
20200228,003550,BUY,63955.291999999994,68,4348959.856,652.3439783999999
20200228,068270,BUY,145634.59699999998,20,2912691.9399999995,436.9037909999999
20200331,069500,SELL,21115.463,192,4054168.8959999997,9932.7137952
